initiated_,initiate_1,initiate_2,sales,zip,id,trained_by,picture_ur,picture,session_3,session_2,session_1,call1_numb,connect_ur,email,phone,country,state,city,team,institutio,role,status,last_name,first_name,name,training_d,call3_end,call3_star,call2_end,call2_star,call1_end,call1_star,longitude,latitude
0,2,1,0,2109,1,F. Simpson,../img/1_tk.jpg,,,A2,E,1,not set yet,tkim@acmemedical.com,502.253.1238,United States,Massachusetts,Boston,Sales,Acme Medical,Sales Rep,Available,Kim,Tracy,Tracy Kim,1/20/2016,,,5/29/2016,5/29/2016,5/29/2016,5/29/2016,-71.05977,42.35843
0,2,0,100000,97201,2,S. Wilson,../img/2_mj.jpg,,,A2,,,not set yet,mjohnson@acmemedical.com,408.222.3948,United States,Oregon,Portland,Sales,Acme Medical,Sales Rep,Online but unavailable,Johnson,Mark,Mark Johnson,2/20/2014,,,5/29/2016,5/29/2016,,,-122.67621,45.52345
11,7,13,250000,2139,3,F. Simpson,../img/3_pr.jpg,,A3,F2,A,2,not set yet,pro@harvard.edu,617.245.3495,United States,Massachusetts,Cambridge,Proctor,Mt. Auburn Hospital,Surgeon,In a session,Rosenblum MD,Peter,Dr. Peter Rosenblum MD,1/20/2016,5/29/2016,5/29/2016,5/29/2016,5/29/2016,5/29/2016,5/29/2016,-71.10561,42.3751
0,11,13,0,44101,4,S. Wilson,../img/4_pk.jpg,,,B2,A,2,not set yet,paul@ccf.org,206.354.2397,United States,Ohio,Cleveland,Prospect,The Cleveland Clinic,Surgeon,In a session,Kracowits,Paul,Dr. Paul Kracowits,2/20/2014,,,5/29/2016,5/29/2016,5/29/2016,5/29/2016,-81.69541,41.4995
0,2,0,0,78705,5,F. Simpson,../img/5_mw.jpg,,,A2,,,not set yet,mweber@acmemedical.com,512.589.3298,United States,Texas,Austin,Marketing,Acme Medical,Marketing Manager,Available,Weber,Michelle,Michelle Weber,1/20/2016,,,5/29/2016,5/29/2016,,,-97.74306,30.26715
0,6,13,0,20001,6,B. Daltrey,../img/6_kf.jpg,,,C2,,,not set yet,kflyer@acmemedical.com,202.345.1212,United States,D.C.,Washington,Education,Acme Medical,Prof Ed Manager,Available,Flyer,Kevin,Kevin Flyer,3/20/2015,,,5/29/2016,5/29/2016,5/29/2016,5/29/2016,-77.009003,38.889931
0,7,7,500000,12603,7,B. Daltrey,../img/7_lw.jpg,,,F2,B,3,not set yet,lisa.wyann.incorporated@gmail.com,508.254.6875,United States,New York,Poughkeepsie,Sales,Distributor,Sales Rep,In a session,Wyann,Lisa,Lisa Wyann,3/20/2015,,,5/29/2016,5/29/2016,5/29/2016,5/29/2016,-73.92097,41.70037
0,6,0,0,60010,8,F. Simpson,../img/8_jg.jpg,,,C2,,,not set yet,jg@yahoo.com,312.476.4221,United States,Illinois,Chicago,Proctor,Northwestern,Surgeon,Available,Gooden,Julie,Dr. Julie Gooden,8/20/2015,,,5/29/2016,5/29/2016,,,-87.65005,41.85003
0,0,15,0,66101,9,,../img/9_bs.jpg,,,,D,4,not set yet,bstone@acmemedical.com,826.241.2410,United States,Kansas,Kansas City,Marketing,Acme Medical,VP of Marketing,Available,Stone,Bill,Bill Stone,,,,,,5/29/2016,5/29/2016,-94.62746,39.11417
0,13,7,0,90001,10,S. Wilson,../img/10_sw.jpg,,,E2,B,3,not set yet,swilson@acmemedical.com,247.155.6394,United States,California,Los Angeles,Product Development,,Engineering/FDA Compliance,In a session,Wilson,Simon,Simon Wilson,2/20/2014,,,5/29/2016,5/29/2016,5/29/2016,5/29/2016,-118.24368,34.05223
11,11,11,800000,80301,11,S. Wilson,../img/11_dg.jpg,,A3,B2,C,5,not set yet,info@email.com,310.922.6081,United States,Colorado,Boulder,Sales,Acme Medical,Sales Rep,In a session,Goldberg,Daniel,Daniel Goldberg,3/20/2016,5/29/2016,5/29/2016,5/29/2016,5/29/2016,5/29/2016,5/29/2016,-105.27055,40.01499
0,13,0,0,85701,12,S. Wilson,../img/12_ja.jpg,,,E2,,,not set yet,jart@acmemedical.com,502-102-1420,United States,Arizona,Tucson,Marketing,Acme Medical,Marketing,Available,Art,Joosa,Joosa Art,3/20/2016,,,5/29/2016,5/29/2016,,,-110.92648,32.22174
0,13,13,1500000,28201,13,F. Simpson,../img/13_ce.jpg,,,E2,A,2,not set yet,cevans@acmemedical.com,602-213-9820,United States,North Carolina,Charlotte,Sales,Acme Medical,Sales Rep,In a session,Evans,Cherice,Cherice Evans,1/20/2016,,,5/29/2016,5/29/2016,5/29/2016,5/29/2016,-80.84313,35.22709
0,0,1,0,98101,14,F. Simpson,../img/14_pl.jpg,,,,E,1,not set yet,plong@acmemedical.com,123-483-7290,United States,Washington,Seattle,Marketing,Acme Medical,Marketing Manager,Available,Long,Phil,Phil Long,1/20/2016,,,,,,,-122.33207,47.60621
0,0,15,0,94085,15,,../img/15_rp.jpg,,,,D,4,not set yet,ceo@acmemedical.com,123-938-7265,United States,California,Sunnyvale,Excutive,Acme Medical,CEO,Available,Paradiso,Roberta,Roberta Paradiso,,,,,,5/29/2016,5/29/2016,-122.03635,37.36883
0,2,1,0,45201,16,S. Wilson,../img/16_ht.jpg,,,A2,E,1,not set yet,htiko@acmemedical.com,513-828-9460,United States,Ohio,Cincinnati,Education,Acme Medical,Prof Ed Manager,Available,Tiko,Hamish,Hamish Tiko,2/20/2014,,,5/29/2016,5/29/2016,5/29/2016,5/29/2016,-84.45666511,39.16187357
