initiated_,call3_numb,initiate_1,call2_numb,initiate_2,call1_numb,zip,id,sales,call3_end,call3_star,call2_end,call2_star,call1_end,call1_star,training_d,trained_by,picture_ur,picture,session_3,session_2,session_1,connect_ur,email,phone,country,state,city,team,institutio,role,status,last_name,first_name,name,longitude,latitude
0,0,11,2,11,3,80301,11,"$800,000 ",,,8/29/2016 20:30,8/29/2016 20:00,8/29/2016 13:33,8/29/2016 13:00,3/20/2016,S. Wilson,../img/11_dg.jpg,,,B2,C,not set yet,info@email.com,310.922.6081,United States,Colorado,Boulder,Sales,Acme Medical,Sales Rep,In a session,Goldberg,Daniel,Daniel Goldberg,-105.27055,40.01499
7,1,16,5,6,2,44118,17,,8/29/2016 17:15,8/29/2016 17:15,8/29/2016 10:00,8/29/2016 9:30,8/29/2016 11:50,8/29/2016 11:00,,,../img/17_dt.jpg,,A3,F2,A,not set yet,dtellamd@gmail.com,404.228.8172,United States,Ohio,Shaker Heights,Prospect,CWRU,Surgeon,In a session,Tella,Donna,Dr. Donna Tella,-81.53707,41.47394
0,0,1,1,0,0,2109,1,,,,8/29/2016 18:30,8/29/2016 18:00,,,1/20/2016,F. Simpson,../img/1_tk.jpg,,,A2,,not set yet,tkim@acmemedical.com,502.253.1238,United States,Massachusetts,Boston,Sales,Acme Medical,Sales Rep,Available,Kim,Tracy,Tracy Kim,-71.05977,42.35843
0,0,9,4,15,4,28201,13,"$1,500,000 ",,,8/29/2016 13:30,8/29/2016 13:30,8/29/2016 10:10,8/29/2016 9:30,1/20/2016,F. Simpson,../img/13_ce.jpg,,,D2,D,not set yet,cevans@acmemedical.com,602-213-9820,United States,North Carolina,Charlotte,Sales,Acme Medical,Sales Rep,Available,Evans,Cherice,Cherice Evans,-80.84313,35.22709
7,1,1,1,7,1,2139,3,"$250,000 ",8/29/2016 17:15,8/29/2016 17:15,8/29/2016 18:30,8/29/2016 18:00,8/29/2016 15:00,8/29/2016 14:00,1/20/2016,F. Simpson,../img/3_pr.jpg,,A3,A2,B,not set yet,pro@harvard.edu,617.245.3495,United States,Massachusetts,Cambridge,Proctor,Mt. Auburn Hospital,Surgeon,Available,Rosenblum MD,Peter,Dr. Peter Rosenblum MD,-71.10561,42.3751
0,0,0,0,16,5,98101,14,,,,,,8/29/2016 10:10,8/29/2016 10:00,1/20/2016,F. Simpson,../img/14_pl.jpg,,,,E,not set yet,plong@acmemedical.com,123-483-7290,United States,Washington,Seattle,Marketing,Acme Medical,Marketing Manager,In a session,Long,Phil,Phil Long,-122.33207,47.60621
0,0,0,0,11,3,94209,18,,,,,,8/29/2016 13:00,8/29/2016 13:00,,,../img/18_mt.jpg,,,,C,not set yet,drtan@tanclinic.com,916.420.8092,United States,California,Sacramento,Prospect,Tan Clinic,Surgeon,In a session,Tan,Marta,Dr. Marta Tan,-121.4944,38.58157
0,0,11,2,7,1,44101,4,,,,8/29/2016 20:30,8/29/2016 20:00,8/29/2016 15:00,8/29/2016 14:00,2/20/2014,S. Wilson,../img/4_pk.jpg,,,B2,,not set yet,paul@ccf.org,206.354.2397,United States,Ohio,Cleveland,Prospect,The Cleveland Clinic,Surgeon,Offline,Kracowits,Paul,Dr. Paul Kracowits,-81.69541,41.4995
0,0,11,2,0,0,60010,8,,,,8/29/2016 20:30,8/29/2016 20:00,,,8/20/2015,F. Simpson,../img/8_jg.jpg,,,B2,,not set yet,jg@yahoo.com,312.476.4221,United States,Illinois,Chicago,Proctor,Northwestern,Surgeon,Available,Gooden,Julie,Dr. Julie Gooden,-87.65005,41.85003
0,0,0,3,6,2,20001,6,,,,8/29/2016 10:30,8/29/2016 10:00,8/29/2016 11:50,8/29/2016 11:00,3/20/2015,B. Daltrey,../img/6_kf.jpg,,,C2,A,not set yet,kflyer@acmemedical.com,202.345.1212,United States,D.C.,Washington,Education,Acme Medical,Prof Ed Manager,In a session,Flyer,Kevin,Kevin Flyer,-77.009003,38.889931
